harvest_date,commodity,municipality,total_weight_kg,remarks
2024-08-01,Rambutan,Hermosa,4601,Monthly aggregate volume.
2024-09-01,Rambutan,Hermosa,4601,Monthly aggregate volume.
2024-10-01,Rambutan,Hermosa,4601,Monthly aggregate volume.
2024-11-01,Rambutan,Hermosa,1232,Monthly aggregate volume.
2024-12-01,Rambutan,Hermosa,82,Monthly aggregate volume.
2024-01-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-02-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-03-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-04-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-05-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-06-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-07-01,Rambutan,Limay,1231,Monthly aggregate volume.
2024-08-01,Rambutan,Limay,2300,Monthly aggregate volume.
2024-09-01,Rambutan,Limay,2300,Monthly aggregate volume.
2024-10-01,Rambutan,Limay,2300,Monthly aggregate volume.
2024-11-01,Rambutan,Limay,617,Monthly aggregate volume.
2024-12-01,Rambutan,Limay,41,Monthly aggregate volume.
2024-01-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-02-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-03-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-04-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-05-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-06-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-07-01,Rambutan,Mariveles,615,Monthly aggregate volume.
2024-08-01,Rambutan,Mariveles,1150,Monthly aggregate volume.
2024-09-01,Rambutan,Mariveles,1150,Monthly aggregate volume.
2024-10-01,Rambutan,Mariveles,1150,Monthly aggregate volume.
2024-11-01,Rambutan,Mariveles,308,Monthly aggregate volume.
2024-12-01,Rambutan,Mariveles,21,Monthly aggregate volume.
2024-01-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-02-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-03-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-04-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-05-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-06-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-07-01,Rambutan,Morong,12,Monthly aggregate volume.
2024-08-01,Rambutan,Morong,23,Monthly aggregate volume.
2024-09-01,Rambutan,Morong,23,Monthly aggregate volume.
2024-10-01,Rambutan,Morong,23,Monthly aggregate volume.
2024-11-01,Rambutan,Morong,6,Monthly aggregate volume.
2024-12-01,Rambutan,Morong,0,Monthly aggregate volume.
2024-01-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-02-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-03-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-04-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-05-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-06-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-07-01,Rambutan,Orani,2463,Monthly aggregate volume.
2024-08-01,Rambutan,Orani,4601,Monthly aggregate volume.
2024-09-01,Rambutan,Orani,4601,Monthly aggregate volume.
2024-10-01,Rambutan,Orani,4601,Monthly aggregate volume.
2024-11-01,Rambutan,Orani,1232,Monthly aggregate volume.
2024-12-01,Rambutan,Orani,82,Monthly aggregate volume.
2024-01-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-02-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-03-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-04-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-05-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-06-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-07-01,Rambutan,Orion,615,Monthly aggregate volume.
2024-08-01,Rambutan,Orion,1150,Monthly aggregate volume.
2024-09-01,Rambutan,Orion,1150,Monthly aggregate volume.
2024-10-01,Rambutan,Orion,1150,Monthly aggregate volume.
2024-11-01,Rambutan,Orion,308,Monthly aggregate volume.
2024-12-01,Rambutan,Orion,21,Monthly aggregate volume.
2024-01-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-02-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-03-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-04-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-05-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-06-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-07-01,Rambutan,Pilar,615,Monthly aggregate volume.
2024-08-01,Rambutan,Pilar,1150,Monthly aggregate volume.
2024-09-01,Rambutan,Pilar,1150,Monthly aggregate volume.
2024-10-01,Rambutan,Pilar,1150,Monthly aggregate volume.
2024-11-01,Rambutan,Pilar,308,Monthly aggregate volume.
2024-12-01,Rambutan,Pilar,21,Monthly aggregate volume.
2024-01-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-02-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-03-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-04-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-05-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-06-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-07-01,Rambutan,Samal,615,Monthly aggregate volume.
2024-08-01,Rambutan,Samal,1150,Monthly aggregate volume.
2024-09-01,Rambutan,Samal,1150,Monthly aggregate volume.
2024-10-01,Rambutan,Samal,1150,Monthly aggregate volume.
2024-11-01,Rambutan,Samal,308,Monthly aggregate volume.
2024-12-01,Rambutan,Samal,21,Monthly aggregate volume.
2024-01-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-02-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-03-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-04-01,Guyabano,Abucay,818,Monthly aggregate volume.
2024-05-01,Guyabano,Abucay,1635,Monthly aggregate volume.
2024-06-01,Guyabano,Abucay,1635,Monthly aggregate volume.
2024-07-01,Guyabano,Abucay,612,Monthly aggregate volume.
2024-08-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-09-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-10-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-11-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-12-01,Guyabano,Abucay,409,Monthly aggregate volume.
2024-01-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-02-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-03-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-04-01,Guyabano,Bagac,2453,Monthly aggregate volume.
2024-05-01,Guyabano,Bagac,4888,Monthly aggregate volume.
2024-06-01,Guyabano,Bagac,4888,Monthly aggregate volume.
2024-07-01,Guyabano,Bagac,1839,Monthly aggregate volume.
2024-08-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-09-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-10-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-11-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-12-01,Guyabano,Bagac,1226,Monthly aggregate volume.
2024-01-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-02-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-03-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-04-01,Guyabano,Balañga,1635,Monthly aggregate volume.
2024-05-01,Guyabano,Balañga,3269,Monthly aggregate volume.
2024-06-01,Guyabano,Balañga,3269,Monthly aggregate volume.
2024-07-01,Guyabano,Balañga,1226,Monthly aggregate volume.
2024-08-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-09-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-10-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-11-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-12-01,Guyabano,Balañga,818,Monthly aggregate volume.
2024-01-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-02-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-03-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-04-01,Guyabano,Dinalupihan,327,Monthly aggregate volume.
2024-05-01,Guyabano,Dinalupihan,654,Monthly aggregate volume.
2024-06-01,Guyabano,Dinalupihan,654,Monthly aggregate volume.
2024-07-01,Guyabano,Dinalupihan,245,Monthly aggregate volume.
2024-08-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-09-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-10-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-11-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-12-01,Guyabano,Dinalupihan,164,Monthly aggregate volume.
2024-01-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-02-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-03-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-04-01,Guyabano,Hermosa,491,Monthly aggregate volume.
2024-05-01,Guyabano,Hermosa,977,Monthly aggregate volume.
2024-06-01,Guyabano,Hermosa,977,Monthly aggregate volume.
2024-07-01,Guyabano,Hermosa,368,Monthly aggregate volume.
2024-08-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-09-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-10-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-11-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-12-01,Guyabano,Hermosa,245,Monthly aggregate volume.
2024-01-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-02-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-03-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-04-01,Guyabano,Limay,818,Monthly aggregate volume.
2024-05-01,Guyabano,Limay,1635,Monthly aggregate volume.
2024-06-01,Guyabano,Limay,1635,Monthly aggregate volume.
2024-07-01,Guyabano,Limay,612,Monthly aggregate volume.
2024-08-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-09-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-10-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-11-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-12-01,Guyabano,Limay,409,Monthly aggregate volume.
2024-01-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-02-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-03-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-04-01,Guyabano,Mariveles,164,Monthly aggregate volume.
2024-05-01,Guyabano,Mariveles,326,Monthly aggregate volume.
2024-06-01,Guyabano,Mariveles,326,Monthly aggregate volume.
2024-07-01,Guyabano,Mariveles,123,Monthly aggregate volume.
2024-08-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-09-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-10-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-11-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-12-01,Guyabano,Mariveles,82,Monthly aggregate volume.
2024-01-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-02-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-03-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-04-01,Guyabano,Morong,164,Monthly aggregate volume.
2024-05-01,Guyabano,Morong,326,Monthly aggregate volume.
2024-06-01,Guyabano,Morong,326,Monthly aggregate volume.
2024-07-01,Guyabano,Morong,123,Monthly aggregate volume.
2024-08-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-09-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-10-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-11-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-12-01,Guyabano,Morong,82,Monthly aggregate volume.
2024-01-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-02-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-03-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-04-01,Guyabano,Orani,1635,Monthly aggregate volume.
2024-05-01,Guyabano,Orani,3269,Monthly aggregate volume.
2024-06-01,Guyabano,Orani,3269,Monthly aggregate volume.
2024-07-01,Guyabano,Orani,1226,Monthly aggregate volume.
2024-08-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-09-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-10-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-11-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-12-01,Guyabano,Orani,818,Monthly aggregate volume.
2024-01-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-02-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-03-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-04-01,Guyabano,Orion,1635,Monthly aggregate volume.
2024-05-01,Guyabano,Orion,3269,Monthly aggregate volume.
2024-06-01,Guyabano,Orion,3269,Monthly aggregate volume.
2024-07-01,Guyabano,Orion,1226,Monthly aggregate volume.
2024-08-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-09-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-10-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-11-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-12-01,Guyabano,Orion,818,Monthly aggregate volume.
2024-01-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-02-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-03-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-04-01,Guyabano,Pilar,1635,Monthly aggregate volume.
2024-05-01,Guyabano,Pilar,3269,Monthly aggregate volume.
2024-06-01,Guyabano,Pilar,3269,Monthly aggregate volume.
2024-07-01,Guyabano,Pilar,1226,Monthly aggregate volume.
2024-08-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-09-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-10-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-11-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-12-01,Guyabano,Pilar,818,Monthly aggregate volume.
2024-01-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-02-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-03-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-04-01,Guyabano,Samal,2796,Monthly aggregate volume.
2024-05-01,Guyabano,Samal,5576,Monthly aggregate volume.
2024-06-01,Guyabano,Samal,5576,Monthly aggregate volume.
2024-07-01,Guyabano,Samal,2097,Monthly aggregate volume.
2024-08-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-09-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-10-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-11-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-12-01,Guyabano,Samal,1398,Monthly aggregate volume.
2024-01-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-02-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-03-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-04-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-05-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-06-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-07-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-08-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-09-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-10-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-11-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-12-01,Papaya,Abucay,3617,Monthly aggregate volume.
2024-01-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-02-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-03-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-04-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-05-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-06-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-07-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-08-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-09-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-10-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-11-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-12-01,Papaya,Bagac,7233,Monthly aggregate volume.
2024-01-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-02-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-03-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-04-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-05-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-06-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-07-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-08-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-09-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-10-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-11-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-12-01,Papaya,Balañga,362,Monthly aggregate volume.
2024-01-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-02-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-03-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-04-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-05-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-06-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-07-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-08-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-09-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-10-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-11-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-12-01,Papaya,Dinalupihan,21700,Monthly aggregate volume.
2024-01-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-02-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-03-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-04-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-05-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-06-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-07-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-08-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-09-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-10-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-11-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-12-01,Papaya,Hermosa,14467,Monthly aggregate volume.
2024-01-01,Papaya,Limay,723,Monthly aggregate volume.
2024-02-01,Papaya,Limay,723,Monthly aggregate volume.
2024-03-01,Papaya,Limay,723,Monthly aggregate volume.
2024-04-01,Papaya,Limay,723,Monthly aggregate volume.
2024-05-01,Papaya,Limay,723,Monthly aggregate volume.
2024-06-01,Papaya,Limay,723,Monthly aggregate volume.
2024-07-01,Papaya,Limay,723,Monthly aggregate volume.
2024-08-01,Papaya,Limay,723,Monthly aggregate volume.
2024-09-01,Papaya,Limay,723,Monthly aggregate volume.
2024-10-01,Papaya,Limay,723,Monthly aggregate volume.
2024-11-01,Papaya,Limay,723,Monthly aggregate volume.
2024-12-01,Papaya,Limay,723,Monthly aggregate volume.
2024-01-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-02-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-03-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-04-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-05-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-06-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-07-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-08-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-09-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-10-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-11-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-12-01,Papaya,Mariveles,723,Monthly aggregate volume.
2024-01-01,Papaya,Morong,723,Monthly aggregate volume.
2024-02-01,Papaya,Morong,723,Monthly aggregate volume.
2024-03-01,Papaya,Morong,723,Monthly aggregate volume.
2024-04-01,Papaya,Morong,723,Monthly aggregate volume.
2024-05-01,Papaya,Morong,723,Monthly aggregate volume.
2024-06-01,Papaya,Morong,723,Monthly aggregate volume.
2024-07-01,Papaya,Morong,723,Monthly aggregate volume.
2024-08-01,Papaya,Morong,723,Monthly aggregate volume.
2024-09-01,Papaya,Morong,723,Monthly aggregate volume.
2024-10-01,Papaya,Morong,723,Monthly aggregate volume.
2024-11-01,Papaya,Morong,723,Monthly aggregate volume.
2024-12-01,Papaya,Morong,723,Monthly aggregate volume.
2024-01-01,Papaya,Orani,362,Monthly aggregate volume.
2024-02-01,Papaya,Orani,362,Monthly aggregate volume.
2024-03-01,Papaya,Orani,362,Monthly aggregate volume.
2024-04-01,Papaya,Orani,362,Monthly aggregate volume.
2024-05-01,Papaya,Orani,362,Monthly aggregate volume.
2024-06-01,Papaya,Orani,362,Monthly aggregate volume.
2024-07-01,Papaya,Orani,362,Monthly aggregate volume.
2024-08-01,Papaya,Orani,362,Monthly aggregate volume.
2024-09-01,Papaya,Orani,362,Monthly aggregate volume.
2024-10-01,Papaya,Orani,362,Monthly aggregate volume.
2024-11-01,Papaya,Orani,362,Monthly aggregate volume.
2024-12-01,Papaya,Orani,362,Monthly aggregate volume.
2024-01-01,Papaya,Orion,362,Monthly aggregate volume.
2024-02-01,Papaya,Orion,362,Monthly aggregate volume.
2024-03-01,Papaya,Orion,362,Monthly aggregate volume.
2024-04-01,Papaya,Orion,362,Monthly aggregate volume.
2024-05-01,Papaya,Orion,362,Monthly aggregate volume.
2024-06-01,Papaya,Orion,362,Monthly aggregate volume.
2024-07-01,Papaya,Orion,362,Monthly aggregate volume.
2024-08-01,Papaya,Orion,362,Monthly aggregate volume.
2024-09-01,Papaya,Orion,362,Monthly aggregate volume.
2024-10-01,Papaya,Orion,362,Monthly aggregate volume.
2024-11-01,Papaya,Orion,362,Monthly aggregate volume.
2024-12-01,Papaya,Orion,362,Monthly aggregate volume.
2024-01-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-02-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-03-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-04-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-05-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-06-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-07-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-08-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-09-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-10-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-11-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-12-01,Papaya,Pilar,723,Monthly aggregate volume.
2024-01-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-02-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-03-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-04-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-05-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-06-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-07-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-08-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-09-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-10-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-11-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-12-01,Papaya,Samal,21700,Monthly aggregate volume.
2024-01-01,Guava,Abucay,55,Monthly aggregate volume.
2024-02-01,Guava,Abucay,11,Monthly aggregate volume.
2024-03-01,Guava,Abucay,11,Monthly aggregate volume.
2024-04-01,Guava,Abucay,11,Monthly aggregate volume.
