id,harvest_date,commodity_type,commodity_spec,total_weight_kg,weight_per_unit_kg,harvest_location,remarks,date_verified,verified_by,prev_record
36,2025-02-21,Durian,Durian Spec 3,207.21,1.26,Samal,,2025-02-27,,
37,2025-02-24,Guava,Guava Spec 1,118.39,1.8,Dinalupihan,,2025-02-24,,
38,2024-12-11,Papaya,Papaya Spec 1,315.95,2.51,Pilar,,2024-12-13,,
39,2025-01-31,Mangosteen,Mangosteen Spec 3,553.86,0.87,Bagac,,2025-02-02,,
40,2025-06-08,Lanzones,Lanzones Spec 3,940.87,1.52,Morong,,2025-06-15,,
41,2025-08-02,Mangosteen,Mangosteen Spec 1,490.58,2.89,Bagac,,2025-08-02,,
42,2024-05-24,Rambutan,Rambutan Spec 2,563.61,1.94,Abucay,,2024-05-31,,
43,2024-06-21,Durian,Durian Spec 3,371.66,2.59,Dinalupihan,,2024-06-27,,
44,2024-08-16,Guava,Guava Spec 2,665.81,0.54,Hermosa,,2024-08-21,,
45,2024-08-11,Pineapple,Pineapple Spec 2,587.34,0.54,Bagac,,2024-08-12,,
46,2024-04-07,Mango,Mango Spec 1,294.72,2.75,Balanga,,2024-04-14,,
47,2025-11-02,Guava,Guava Spec 3,782.32,2.03,Hermosa,,2025-11-08,,
48,2025-07-11,Durian,Durian Spec 2,551.87,0.27,Balanga,,2025-07-12,,
49,2025-01-05,Banana,Banana Spec 2,464.09,1.73,Hermosa,,2025-01-10,,
50,2025-02-24,Banana,Banana Spec 1,364.58,2.05,Samal,,2025-03-03,,
51,2025-01-17,Mango,Mango Spec 1,380.7,0.69,Bagac,,2025-01-18,,
52,2024-11-14,Pineapple,Pineapple Spec 1,462.8,1.48,Dinalupihan,,2024-11-19,,
53,2024-03-13,Pineapple,Pineapple Spec 2,216.84,2.25,Morong,,2024-03-14,,
54,2025-09-18,Papaya,Papaya Spec 3,989.68,1.73,Mariveles,,2025-09-19,,
55,2024-09-20,Lanzones,Lanzones Spec 3,820.71,1.71,Orani,,2024-09-27,,
56,2025-09-15,Guava,Guava Spec 3,826.82,0.43,Hermosa,,2025-09-16,,
57,2025-10-27,Mangosteen,Mangosteen Spec 2,899.6,1.64,Orani,,2025-11-01,,
58,2025-04-28,Durian,Durian Spec 1,126.61,2.8,Hermosa,,2025-04-30,,
59,2024-01-06,Durian,Durian Spec 3,540.09,1.7,Mariveles,,2024-01-06,,
60,2024-04-30,Papaya,Papaya Spec 2,220.15,0.69,Hermosa,,2024-05-02,,
61,2025-10-17,Mangosteen,Mangosteen Spec 1,738.36,1.2,Mariveles,,2025-10-17,,
62,2025-04-15,Mangosteen,Mangosteen Spec 3,528.5,2.17,Samal,,2025-04-15,,
63,2025-01-17,Mangosteen,Mangosteen Spec 3,448.01,2.2,Mariveles,,2025-01-17,,
64,2024-10-08,Mangosteen,Mangosteen Spec 2,673.63,2.41,Hermosa,,2024-10-12,,
65,2024-12-16,Guava,Guava Spec 3,976.74,1.64,Abucay,,2024-12-23,,
66,2024-11-25,Calamansi,Calamansi Spec 1,639.92,1.06,Hermosa,,2024-11-27,,
67,2025-11-19,Banana,Banana Spec 1,922.68,0.3,Hermosa,,2025-11-26,,
68,2025-11-29,Durian,Durian Spec 1,365.34,1.51,Morong,,2025-12-04,,
69,2025-05-03,Banana,Banana Spec 3,425.57,1.09,Morong,,2025-05-05,,
70,2025-01-12,Mangosteen,Mangosteen Spec 3,952.33,0.6,Samal,,2025-01-15,,
71,2025-07-30,Mangosteen,Mangosteen Spec 1,656.64,2.26,Morong,,2025-08-04,,
72,2025-12-19,Banana,Banana Spec 2,426.09,1.32,Samal,,2025-12-25,,
73,2025-06-29,Calamansi,Calamansi Spec 3,329.51,1.15,Morong,,2025-07-02,,
74,2025-01-03,Banana,Banana Spec 3,713.9,2.57,Morong,,2025-01-09,,
75,2024-01-04,Durian,Durian Spec 2,431.76,1.62,Morong,,2024-01-10,,
76,2024-09-27,Mangosteen,Mangosteen Spec 2,581.21,2.13,Pilar,,2024-10-03,,
77,2025-08-05,Mango,Mango Spec 2,620.53,2.16,Hermosa,,2025-08-10,,
78,2024-02-23,Rambutan,Rambutan Spec 2,630.84,0.17,Samal,,2024-02-27,,
79,2025-08-01,Mango,Mango Spec 1,345.01,2.36,Orani,,2025-08-05,,
80,2025-03-30,Papaya,Papaya Spec 3,848.88,2.77,Orani,,2025-04-01,,
81,2024-01-25,Lanzones,Lanzones Spec 1,482.08,0.81,Bagac,,2024-01-25,,
82,2025-02-28,Mango,Mango Spec 3,581.76,0.93,Balanga,,2025-03-05,,
83,2025-06-12,Pineapple,Pineapple Spec 1,218.57,1.19,Dinalupihan,,2025-06-18,,
84,2024-10-04,Mango,Mango Spec 2,946.4,0.28,Bagac,,2024-10-04,,
85,2024-10-30,Calamansi,Calamansi Spec 1,761.43,0.22,Morong,,2024-11-03,,
86,2024-12-25,Mangosteen,Mangosteen Spec 1,263.84,2.43,Samal,,2025-01-01,,
87,2024-03-02,Rambutan,Rambutan Spec 3,450.15,1.6,Orani,,2024-03-07,,
88,2025-04-13,Rambutan,Rambutan Spec 1,196.08,2.96,Pilar,,2025-04-18,,
89,2025-05-03,Lanzones,Lanzones Spec 2,443.94,0.19,Orani,,2025-05-08,,
90,2025-06-29,Calamansi,Calamansi Spec 2,773.58,2.98,Orani,,2025-06-29,,
91,2025-12-02,Banana,Banana Spec 3,493.87,2.47,Orani,,2025-12-09,,
92,2025-05-08,Calamansi,Calamansi Spec 3,113.78,1.92,Pilar,,2025-05-09,,
93,2025-12-12,Papaya,Papaya Spec 1,947.28,0.64,Abucay,,2025-12-17,,
94,2025-07-28,Rambutan,Rambutan Spec 2,220.97,0.74,Pilar,,2025-08-02,,
95,2025-03-06,Pineapple,Pineapple Spec 1,765.32,0.23,Samal,,2025-03-09,,
96,2025-10-19,Durian,Durian Spec 3,665.5,1.18,Abucay,,2025-10-21,,
97,2024-04-11,Guava,Guava Spec 1,153.6,0.86,Samal,,2024-04-11,,
98,2024-11-09,Rambutan,Rambutan Spec 2,321.17,2.18,Morong,,2024-11-13,,
99,2025-10-08,Pineapple,Pineapple Spec 2,311.14,2.09,Balanga,,2025-10-15,,
100,2025-02-19,Rambutan,Rambutan Spec 3,686.43,2.52,Morong,,2025-02-24,,
